Stock Code,Stock Name,Current Value,Change,Percentage Change,Market Cap,Industry,Day High,Day Low,Month High/Low
512599,Adani Enterprises Ltd.,2478.40,28.30,1.16,2479.90,2450.20,,,A  / S&P BSE 100
532921,Adani Ports And Special Economic Zone Ltd.,799.90,0.35,0.04,812.00,795.50,,,A  / S&P BSE 100
532921,Adani Ports And Special Economic Zone Ltd.,799.90,0.35,0.04,812.00,795.50,,,A  / S&P BSE 100
533096,Adani Power Ltd.,339.35,9.40,2.85,345.00,330.35,,,A  / S&P BSE 100
533096,Adani Power Ltd.,339.35,9.40,2.85,345.00,330.35,,,A  / S&P BSE 100
539254,Adani Transmission Ltd,820.45,-4.85,-0.59,835.05,817.05,,,A  / S&P BSE 200
539254,Adani Transmission Ltd,820.45,-4.85,-0.59,835.05,817.05,,,A  / S&P BSE 200
526711,Adarsh Plant Protect Ltd.,30.06,-1.58,-4.99,33.20,30.06,,,X  /
526711,Adarsh Plant Protect Ltd.,30.06,-1.58,-4.99,33.20,30.06,,,X  /
523411,Adc India Communications Limited-$,711.55,-8.60,-1.19,725.00,710.50,,,X  /
523411,Adc India Communications Limited-$,711.55,-8.60,-1.19,725.00,710.50,,,X  /
538734,Adcc Infocad Ltd,224.00,-0.90,-0.40,230.00,223.05,,,XT /
538734,Adcc Infocad Ltd,224.00,-0.90,-0.40,230.00,223.05,,,XT /
507852,Addi Industries Ltd.-$,39.50,-1.55,-3.78,41.20,37.65,,,X  /
507852,Addi Industries Ltd.-$,39.50,-1.55,-3.78,41.20,37.65,,,X  /
